Port,Protocol,Count
41897,tcp,17
29165,tcp,14
56674,tcp,19
45160,tcp,24
7634,tcp,16
8313,tcp,13
30487,tcp,12
4841,tcp,23
45122,tcp,17
65247,tcp,14
29871,tcp,16
55619,tcp,12
40400,tcp,14
29831,tcp,23
21285,tcp,18
54215,tcp,17
49372,tcp,13
33590,tcp,21
25172,tcp,14
28998,tcp,14
37783,tcp,12
8834,tcp,19
54452,tcp,16
49540,tcp,8
32993,tcp,24
3040,tcp,24
64336,tcp,16
42145,tcp,16
26393,tcp,19
1883,tcp,16
21971,tcp,15
12167,tcp,19
27202,tcp,13
19151,tcp,18
54347,tcp,14
38917,tcp,22
48532,tcp,20
21394,tcp,12
8357,tcp,16
42656,tcp,13
60929,tcp,19
18707,tcp,12
43764,tcp,12
36663,tcp,16
55443,tcp,14
43096,tcp,11
8742,tcp,13
49719,tcp,19
63821,tcp,13
36201,tcp,14
47102,tcp,11
25665,tcp,15
20486,tcp,10
41721,tcp,17
63178,tcp,23
39729,tcp,18
45408,tcp,21
63715,tcp,16
14397,tcp,17
4043,tcp,18
53154,tcp,15
16291,tcp,16
48119,tcp,17
16770,tcp,19
47913,tcp,21
29093,tcp,12
61964,tcp,8
45378,tcp,11
43860,tcp,18
30858,tcp,20
45989,tcp,12
30472,tcp,16
63385,tcp,14
61649,tcp,14
64815,tcp,23
26805,tcp,18
28977,tcp,6
10782,tcp,21
1137,tcp,21
46064,tcp,18
32632,tcp,6
31053,tcp,15
48338,tcp,15
26841,tcp,16
42808,tcp,23
43144,tcp,14
36982,tcp,18
49216,tcp,8
17487,tcp,13
38693,tcp,20
7536,tcp,15
1703,tcp,9
9045,tcp,14
63582,tcp,18
6564,tcp,17
40388,tcp,13
10963,tcp,11
35815,tcp,15
58848,tcp,16
43562,tcp,18
7185,tcp,16
15989,tcp,17
49018,tcp,16
49568,tcp,16
34155,tcp,16
35913,tcp,13
19794,tcp,9
38702,tcp,21
40568,tcp,13
30184,tcp,16
50523,tcp,18
56476,tcp,12
32575,tcp,14
45746,tcp,13
9311,tcp,13
49495,tcp,9
62190,tcp,21
63384,tcp,19
10900,tcp,15
6857,tcp,16
7603,tcp,16
32102,tcp,20
48252,tcp,17
32530,tcp,13
38787,tcp,11
38767,tcp,18
17189,tcp,15
43710,tcp,17
7482,tcp,16
5438,tcp,15
10903,tcp,22
38419,tcp,15
5413,tcp,14
32421,tcp,16
56333,tcp,17
7771,tcp,12
29705,tcp,14
60505,tcp,16
10401,tcp,15
14114,tcp,19
9835,tcp,18
24682,tcp,14
26102,tcp,22
49186,tcp,12
52293,tcp,14
25901,tcp,17
50628,tcp,18
22612,tcp,16
57453,tcp,13
7472,tcp,19
21276,tcp,18
7024,tcp,23
59712,tcp,8
41358,tcp,12
65408,tcp,9
29950,tcp,16
47747,tcp,19
61369,tcp,15
54046,tcp,13
23194,tcp,21
14771,tcp,20
20243,tcp,6
53729,tcp,13
35458,tcp,16
30595,tcp,21
2954,tcp,13
21855,tcp,14
57557,tcp,17
12059,tcp,10
7323,tcp,20
18305,tcp,11
26206,tcp,22
13845,tcp,12
37324,tcp,13
58236,tcp,18
18388,tcp,18
13697,tcp,23
2685,tcp,13
63255,tcp,23
44696,tcp,13
12189,tcp,16
6294,tcp,18
3901,tcp,19
8417,tcp,18
3800,tcp,16
44542,tcp,16
25070,tcp,10
57197,tcp,16
37383,tcp,15
27878,tcp,16
18343,tcp,20
2804,tcp,12
48738,tcp,23
19348,tcp,12
3999,tcp,13
52062,tcp,22
55515,tcp,18
14146,tcp,13
59297,tcp,17
15734,tcp,16
35174,tcp,10
63823,tcp,13
63740,tcp,17
63006,tcp,15
2420,tcp,14
6007,tcp,20
39900,tcp,7
7632,tcp,19
9306,tcp,25
56574,tcp,12
30060,tcp,14
62036,tcp,12
58626,tcp,11
40094,tcp,21
15748,tcp,11
61817,tcp,13
56085,tcp,25
6162,tcp,18
31486,tcp,17
19969,tcp,20
10231,tcp,18
52403,tcp,22
30845,tcp,11
32191,tcp,21
22279,tcp,16
11145,tcp,18
63724,tcp,17
61245,tcp,12
43525,tcp,13
49165,tcp,18
7529,tcp,14
2019,tcp,15
28502,tcp,13
27581,tcp,14
63752,tcp,10
36897,tcp,12
59713,tcp,18
36353,tcp,12
25966,tcp,15
30956,tcp,11
34213,tcp,13
33672,tcp,9
34633,tcp,12
15869,tcp,10
59281,tcp,21
42901,tcp,25
44971,tcp,16
14427,tcp,17
63547,tcp,12
8069,tcp,14
59648,tcp,12
52145,tcp,28
17224,tcp,20
28675,tcp,24
20608,tcp,20
43723,tcp,18
32184,tcp,15
40989,tcp,15
8457,tcp,10
31324,tcp,12
32828,tcp,9
57129,tcp,15
60262,tcp,17
59854,tcp,10
17808,tcp,24
20630,tcp,18
57242,tcp,18
33858,tcp,15
9573,tcp,15
29126,tcp,19
14876,tcp,22
19350,tcp,13
6609,tcp,13
11248,tcp,17
12670,tcp,16
20140,tcp,8
29918,tcp,22
48050,tcp,15
16898,tcp,18
37166,tcp,13
9468,tcp,19
31378,tcp,17
7157,tcp,19
58537,tcp,20
19994,tcp,14
42178,tcp,11
25239,tcp,8
52207,tcp,11
49906,tcp,12
41782,tcp,17
51601,tcp,15
65028,tcp,19
64012,tcp,17
61323,tcp,23
11132,tcp,13
12296,tcp,14
22158,tcp,20
56692,tcp,17
32219,tcp,15
21246,tcp,13
52951,tcp,10
10892,tcp,16
26362,tcp,17
20352,tcp,15
61698,tcp,19
48200,tcp,21
12916,tcp,15
15636,tcp,20
42094,tcp,6
40715,tcp,12
11889,tcp,10
8427,tcp,15
17755,tcp,15
7699,tcp,12
20543,tcp,17
2912,tcp,19
63703,tcp,14
37597,tcp,12
34645,tcp,19
64423,tcp,24
28328,tcp,16
24738,tcp,18
32924,tcp,15
59170,tcp,15
42615,tcp,10
3663,tcp,20
7744,tcp,12
2305,tcp,18
55960,tcp,23
27509,tcp,15
7053,tcp,13
56637,tcp,20
29319,tcp,13
56489,tcp,9
53438,tcp,14
60902,tcp,13
39829,tcp,12
61581,tcp,21
45138,tcp,15
3283,tcp,16
27061,tcp,18
55442,tcp,14
13334,tcp,10
42316,tcp,14
28939,tcp,19
54351,tcp,14
38066,tcp,14
63855,tcp,16
40293,tcp,15
29116,tcp,11
26440,tcp,21
56718,tcp,13
19593,tcp,14
58290,tcp,18
39898,tcp,13
28249,tcp,12
7439,tcp,15
47504,tcp,17
43773,tcp,20
2395,tcp,17
46775,tcp,15
61056,tcp,25
28236,tcp,10
10037,tcp,14
14191,tcp,20
23210,tcp,17
60414,tcp,15
61002,tcp,19
63725,tcp,18
7489,tcp,14
2182,tcp,17
28814,tcp,17
9629,tcp,15
60370,tcp,17
44726,tcp,15
47080,tcp,17
4840,tcp,18
9849,tcp,17
21646,tcp,17
21609,tcp,10
40808,tcp,17
42283,tcp,16
29188,tcp,16
1492,tcp,17
29220,tcp,6
37818,tcp,20
61858,tcp,20
27611,tcp,15
26140,tcp,17
35645,tcp,15
34760,tcp,27
63455,tcp,15
30265,tcp,15
34898,tcp,18
60457,tcp,13
37530,tcp,17
47321,tcp,15
27934,tcp,16
2989,tcp,9
22124,tcp,10
46179,tcp,19
26353,tcp,17
50012,tcp,10
63470,tcp,26
36615,tcp,8
40037,tcp,15
39815,tcp,19
51585,tcp,18
51697,tcp,23
60403,tcp,16
47714,tcp,23
56864,tcp,21
23391,tcp,14
5250,tcp,15
42012,tcp,14
25134,tcp,17
30370,tcp,10
60233,tcp,15
52006,tcp,24
21505,tcp,25
10050,tcp,14
11901,tcp,16
44843,tcp,18
56467,tcp,18
57108,tcp,12
62753,tcp,15
52248,tcp,19
7663,tcp,10
21295,tcp,13
16368,tcp,14
53896,tcp,10
53187,tcp,15
22142,tcp,28
27605,tcp,14
1546,tcp,12
48873,tcp,24
35056,tcp,15
26470,tcp,12
38381,tcp,11
16821,tcp,13
5135,tcp,19
16210,tcp,18
50384,tcp,14
33511,tcp,20
21858,tcp,16
10152,tcp,18
18007,tcp,22
7234,tcp,11
34085,tcp,20
11939,tcp,14
28089,tcp,13
47381,tcp,11
60696,tcp,11
46829,tcp,15
34244,tcp,24
8294,tcp,9
48859,tcp,18
11155,tcp,18
5656,tcp,18
58816,tcp,14
1754,tcp,20
64760,tcp,23
40363,tcp,17
65332,tcp,14
41103,tcp,18
32506,tcp,14
1950,tcp,10
62948,tcp,11
38451,tcp,11
29521,tcp,9
1472,tcp,17
4567,tcp,20
41537,tcp,13
54422,tcp,22
10285,tcp,11
28303,tcp,10
37879,tcp,18
16292,tcp,16
14435,tcp,14
3657,tcp,15
51957,tcp,13
60171,tcp,15
25555,tcp,14
23619,tcp,18
39914,tcp,10
49486,tcp,22
46076,tcp,10
49295,tcp,16
44451,tcp,22
25203,tcp,15
36924,tcp,13
27411,tcp,22
1113,tcp,17
27672,tcp,13
20086,tcp,23
55663,tcp,20
47628,tcp,16
34835,tcp,16
41258,tcp,13
56050,tcp,15
54639,tcp,21
5618,tcp,13
11270,tcp,18
1251,tcp,15
41846,tcp,14
33580,tcp,11
47427,tcp,12
34366,tcp,20
36887,tcp,14
64415,tcp,14
9816,tcp,9
56414,tcp,13
5847,tcp,15
38211,tcp,12
52217,tcp,9
5536,tcp,12
37999,tcp,17
17828,tcp,18
6559,tcp,14
35453,tcp,16
49123,tcp,11
12584,tcp,22
47847,tcp,7
5972,tcp,19
33877,tcp,11
30061,tcp,14
52111,tcp,20
21559,tcp,21
25332,tcp,16
24661,tcp,16
59674,tcp,16
63497,tcp,16
9336,tcp,16
4955,tcp,18
20777,tcp,14
10390,tcp,21
63755,tcp,18
43679,tcp,18
27823,tcp,19
45208,tcp,11
34870,tcp,14
33819,tcp,14
16969,tcp,11
44934,tcp,12
2851,tcp,17
5919,tcp,15
1172,tcp,15
24278,tcp,13
34697,tcp,12
45867,tcp,9
15180,tcp,16
50247,tcp,20
40220,tcp,23
12698,tcp,16
36160,tcp,16
27388,tcp,19
18535,tcp,13
49000,tcp,10
43886,tcp,20
8934,tcp,12
30968,tcp,23
29736,tcp,16
7004,tcp,15
20966,tcp,20
60455,tcp,11
47620,tcp,10
63026,tcp,19
13879,tcp,10
6599,tcp,16
19826,tcp,12
26373,tcp,18
13170,tcp,13
28666,tcp,13
14048,tcp,14
50084,tcp,23
60108,tcp,20
35790,tcp,15
4729,tcp,18
52517,tcp,20
47541,tcp,13
10521,tcp,14
65106,tcp,16
48202,tcp,10
26573,tcp,16
25002,tcp,13
41313,tcp,14
65062,tcp,15
30021,tcp,17
61309,tcp,13
51347,tcp,19
9532,tcp,17
18020,tcp,15
44992,tcp,14
27090,tcp,14
22063,tcp,17
13570,tcp,18
13952,tcp,20
7138,tcp,11
31648,tcp,14
7015,tcp,12
43381,tcp,17
57283,tcp,16
40796,tcp,26
9094,tcp,19
23353,tcp,11
1776,tcp,19
54745,tcp,23
61503,tcp,14
12823,tcp,13
16906,tcp,18
14338,tcp,17
45001,tcp,17
47551,tcp,16
49078,tcp,9
33523,tcp,12
21613,tcp,20
7012,tcp,18
4616,tcp,10
51795,tcp,12
46366,tcp,19
14092,tcp,12
20830,tcp,18
28496,tcp,19
3352,tcp,16
39283,tcp,13
24679,tcp,19
3311,tcp,20
54154,tcp,13
35040,tcp,11
38803,tcp,13
5421,tcp,15
54879,tcp,9
43297,tcp,9
43523,tcp,15
50531,tcp,16
50694,tcp,18
29281,tcp,19
46993,tcp,7
51383,tcp,14
4554,tcp,15
43092,tcp,13
50850,tcp,8
47805,tcp,15
56406,tcp,14
15957,tcp,13
1965,tcp,10
22203,tcp,17
21427,tcp,15
60587,tcp,10
35120,tcp,16
1115,tcp,12
29410,tcp,18
23042,tcp,14
47611,tcp,12
33373,tcp,13
26787,tcp,15
27791,tcp,21
8817,tcp,13
21173,tcp,17
46642,tcp,22
34188,tcp,19
23027,tcp,13
33534,tcp,12
8697,tcp,19
53388,tcp,12
62885,tcp,21
39516,tcp,16
41945,tcp,21
29447,tcp,15
3572,tcp,16
31808,tcp,14
59672,tcp,16
11323,tcp,16
49462,tcp,16
19621,tcp,14
56667,tcp,16
5914,tcp,18
11496,tcp,16
38202,tcp,12
46907,tcp,13
59822,tcp,8
29446,tcp,10
10178,tcp,16
2353,tcp,12
30445,tcp,18
37731,tcp,16
38274,tcp,17
23289,tcp,15
61753,tcp,10
57954,tcp,20
18705,tcp,19
47254,tcp,16
26456,tcp,10
32345,tcp,14
26907,tcp,18
61533,tcp,14
64402,tcp,21
49789,tcp,15
6247,tcp,13
38406,tcp,15
1141,tcp,8
13802,tcp,24
2224,tcp,17
52166,tcp,15
2103,tcp,11
61578,tcp,14
20989,tcp,19
18765,tcp,13
17164,tcp,16
25845,tcp,12
48458,tcp,12
43004,tcp,14
54100,tcp,6
59352,tcp,13
39893,tcp,19
17150,tcp,20
21250,tcp,15
24933,tcp,25
55053,tcp,19
25224,tcp,16
61795,tcp,10
28968,tcp,5
62521,tcp,17
46109,tcp,9
24428,tcp,15
37755,tcp,12
38532,tcp,19
29312,tcp,14
23790,tcp,12
32182,tcp,18
57002,tcp,16
16017,tcp,19
59249,tcp,17
3644,tcp,19
53007,tcp,17
33271,tcp,18
51189,tcp,19
6660,tcp,22
30210,tcp,11
33283,tcp,19
43661,tcp,10
12282,tcp,12
50562,tcp,14
35923,tcp,12
44274,tcp,18
64076,tcp,15
55868,tcp,12
22554,tcp,12
4453,tcp,19
20589,tcp,16
57306,tcp,13
24714,tcp,17
12960,tcp,19
33556,tcp,14
36493,tcp,17
53013,tcp,15
30738,tcp,17
21097,tcp,19
10872,tcp,14
5776,tcp,22
29959,tcp,12
54059,tcp,17
48767,tcp,18
43966,tcp,15
62700,tcp,16
43317,tcp,13
3531,tcp,16
18042,tcp,13
7623,tcp,13
41687,tcp,15
7670,tcp,18
13314,tcp,20
20463,tcp,20
49339,tcp,19
35868,tcp,14
15296,tcp,16
59793,tcp,10
52469,tcp,13
40325,tcp,13
35204,tcp,12
13591,tcp,14
4199,tcp,18
13513,tcp,18
48790,tcp,15
48406,tcp,16
34891,tcp,15
55823,tcp,18
24913,tcp,16
22931,tcp,17
24867,tcp,11
34396,tcp,16
42079,tcp,16
42803,tcp,14
56700,tcp,13
16396,tcp,21
9383,tcp,18
56725,tcp,12
38025,tcp,26
20714,tcp,19
27027,tcp,22
57837,tcp,21
27218,tcp,9
41427,tcp,17
26572,tcp,15
37338,tcp,16
41009,tcp,11
46507,tcp,20
6069,tcp,9
36582,tcp,9
35449,tcp,20
36659,tcp,15
26143,tcp,13
44474,tcp,11
17733,tcp,11
31694,tcp,14
19020,tcp,8
24209,tcp,16
26302,tcp,16
35148,tcp,15
21316,tcp,16
5623,tcp,17
25624,tcp,12
29768,tcp,12
12404,tcp,18
59398,tcp,13
57149,tcp,10
7261,tcp,8
39493,tcp,17
6742,tcp,19
30058,tcp,17
3583,tcp,10
11980,tcp,17
29676,tcp,18
56276,tcp,12
42967,tcp,16
24719,tcp,17
52576,tcp,12
13503,tcp,17
20824,tcp,10
32963,tcp,19
14987,tcp,19
64104,tcp,18
27869,tcp,12
58126,tcp,20
48834,tcp,13
13755,tcp,19
45136,tcp,13
42279,tcp,13
29662,tcp,14
53094,tcp,9
34885,tcp,18
28014,tcp,21
12552,tcp,19
26832,tcp,12
60038,tcp,18
7782,tcp,13
35500,tcp,18
51772,tcp,15
32320,tcp,12
27385,tcp,10
43138,tcp,19
17175,tcp,11
52852,tcp,10
37443,tcp,20
32959,tcp,13
49964,tcp,19
61665,tcp,15
49536,tcp,21
18736,tcp,13
27117,tcp,13
21106,tcp,11
37547,tcp,21
3805,tcp,12
5784,tcp,10
30071,tcp,16
46971,tcp,14
47237,tcp,17
12308,tcp,12
43618,tcp,12
9486,tcp,17
7126,tcp,15
57148,tcp,15
9024,tcp,21
62479,tcp,15
56636,tcp,13
11551,tcp,13
10718,tcp,12
54069,tcp,13
23055,tcp,13
35182,tcp,20
24474,tcp,12
11293,tcp,16
53152,tcp,11
21494,tcp,22
2893,tcp,13
42372,tcp,17
22535,tcp,11
10129,tcp,20
43873,tcp,12
48083,tcp,12
58970,tcp,18
35926,tcp,19
48714,tcp,11
63162,tcp,14
30429,tcp,22
1401,tcp,11
17756,tcp,13
5647,tcp,14
19537,tcp,18
62974,tcp,25
34023,tcp,16
11139,tcp,17
24822,tcp,18
45823,tcp,8
7653,tcp,15
38974,tcp,13
48705,tcp,13
63994,tcp,16
19477,tcp,13
53365,tcp,21
49866,tcp,18
8661,tcp,20
35762,tcp,20
33593,tcp,15
65006,tcp,19
60690,tcp,17
43458,tcp,11
23332,tcp,14
54562,tcp,14
1598,tcp,11
50912,tcp,20
12166,tcp,16
3102,tcp,20
28230,tcp,16
38109,tcp,15
46422,tcp,17
53036,tcp,16
60848,tcp,14
61669,tcp,16
50292,tcp,20
61844,tcp,16
58218,tcp,16
58555,tcp,23
14332,tcp,13
40931,tcp,15
1506,tcp,15
41812,tcp,8
37741,tcp,14
29800,tcp,17
12496,tcp,11
9507,tcp,9
18627,tcp,18
9127,tcp,12
20222,tcp,18
12199,tcp,18
44133,tcp,16
34049,tcp,14
46407,tcp,14
63768,tcp,15
31051,tcp,17
14658,tcp,11
50111,tcp,14
54113,tcp,16
31320,tcp,12
1515,tcp,9
9195,tcp,16
52168,tcp,19
42218,tcp,22
60641,tcp,10
51279,tcp,11
35316,tcp,11
25730,tcp,20
5922,tcp,18
16450,tcp,16
21547,tcp,9
41834,tcp,15
62543,tcp,16
58930,tcp,24
53736,tcp,16
26089,tcp,22
54286,tcp,23
38485,tcp,13
22320,tcp,16
31459,tcp,20
36560,tcp,12
40244,tcp,17
41099,tcp,10
60011,tcp,14
5200,tcp,23
35725,tcp,16
52313,tcp,12
62283,tcp,17
26979,tcp,13
47012,tcp,18
30602,tcp,16
14223,tcp,17
8960,tcp,13
3526,tcp,17
38613,tcp,16
53051,tcp,15
38076,tcp,19
48588,tcp,12
13665,tcp,18
22197,tcp,14
42385,tcp,15
48569,tcp,14
63920,tcp,14
28489,tcp,16
48660,tcp,19
58241,tcp,21
8281,tcp,12
15126,tcp,16
21890,tcp,13
4951,tcp,16
1945,tcp,21
12359,tcp,8
52935,tcp,20
51243,tcp,17
57041,tcp,18
48194,tcp,13
4338,tcp,17
15715,tcp,13
42878,tcp,16
17020,tcp,14
59767,tcp,18
55648,tcp,20
10460,tcp,19
44116,tcp,11
13493,tcp,15
3711,tcp,11
1990,tcp,13
13237,tcp,15
4285,tcp,18
47827,tcp,16
60839,tcp,18
31239,tcp,14
8646,tcp,12
42236,tcp,11
10951,tcp,21
59754,tcp,17
44622,tcp,11
31346,tcp,19
49461,tcp,21
33909,tcp,8
28558,tcp,18
2052,tcp,16
30731,tcp,20
39408,tcp,13
57965,tcp,17
31254,tcp,15
53325,tcp,15
35759,tcp,20
36336,tcp,16
65240,tcp,15
47155,tcp,14
23998,tcp,13
20789,tcp,20
13108,tcp,14
44317,tcp,15
21230,tcp,15
51174,tcp,22
52292,tcp,15
62327,tcp,14
24373,tcp,14
57477,tcp,15
2589,tcp,28
22345,tcp,15
51797,tcp,16
63312,tcp,21
48357,tcp,16
44712,tcp,23
22007,tcp,10
23475,tcp,18
11782,tcp,25
5333,tcp,14
40438,tcp,18
57566,tcp,10
33854,tcp,12
34072,tcp,27
21443,tcp,18
4011,tcp,21
58462,tcp,15
55899,tcp,17
1986,tcp,19
30885,tcp,15
64759,tcp,16
53595,tcp,15
54828,tcp,14
2247,tcp,19
52076,tcp,15
50810,tcp,24
62964,tcp,12
18270,tcp,15
45105,tcp,15
18466,tcp,14
46840,tcp,19
49352,tcp,16
13002,tcp,15
41487,tcp,14
19305,tcp,21
60428,tcp,14
41270,tcp,15
50413,tcp,15
21410,tcp,13
28080,tcp,17
52405,tcp,9
15065,tcp,16
47957,tcp,10
64864,tcp,16
13625,tcp,18
7156,tcp,11
5015,tcp,16
1725,tcp,14
21337,tcp,10
27803,tcp,14
51227,tcp,22
47467,tcp,11
56260,tcp,8
2072,tcp,15
14945,tcp,22
27737,tcp,17
20839,tcp,11
3075,tcp,13
52533,tcp,16
2188,tcp,20
14801,tcp,12
10143,tcp,13
51343,tcp,19
39931,tcp,11
3697,tcp,15
4811,tcp,15
53963,tcp,17
57058,tcp,15
21680,tcp,19
33547,tcp,15
8806,tcp,13
45499,tcp,17
33245,tcp,20
14836,tcp,20
35402,tcp,21
49185,tcp,17
58573,tcp,15
51176,tcp,13
24980,tcp,16
37311,tcp,16
52744,tcp,14
36608,tcp,13
30267,tcp,22
32781,tcp,19
47688,tcp,15
22258,tcp,19
1047,tcp,20
53293,tcp,20
27010,tcp,14
15889,tcp,13
42200,tcp,18
50218,tcp,7
9505,tcp,12
47341,tcp,8
33790,tcp,15
50881,tcp,22
12660,tcp,22
43781,tcp,9
20576,tcp,14
22199,tcp,14
58472,tcp,11
7906,tcp,15
22275,tcp,14
21238,tcp,23
55871,tcp,22
7594,tcp,10
53469,tcp,14
14145,tcp,17
1393,tcp,19
33204,tcp,15
65345,tcp,11
51435,tcp,13
46903,tcp,19
38359,tcp,14
39569,tcp,10
45352,tcp,9
12388,tcp,15
27286,tcp,17
64326,tcp,15
55415,tcp,14
25481,tcp,17
6412,tcp,18
47992,tcp,18
46934,tcp,14
33430,tcp,16
65165,tcp,15
52790,tcp,12
1982,tcp,16
38124,tcp,13
20214,tcp,14
17706,tcp,14
8682,tcp,12
38495,tcp,16
31457,tcp,10
49807,tcp,11
32235,tcp,13
5669,tcp,19
47846,tcp,20
47752,tcp,13
55607,tcp,10
32769,tcp,13
60289,tcp,15
50131,tcp,17
9533,tcp,11
59088,tcp,18
53893,tcp,15
45822,tcp,14
18889,tcp,17
63760,tcp,13
21502,tcp,12
47242,tcp,13
4884,tcp,25
12023,tcp,15
20685,tcp,13
9552,tcp,12
27210,tcp,19
20124,tcp,18
64335,tcp,19
4029,tcp,15
60499,tcp,14
8371,tcp,20
35473,tcp,12
46930,tcp,17
38067,tcp,18
16675,tcp,15
12146,tcp,16
26776,tcp,15
35592,tcp,16
2708,tcp,16
31188,tcp,16
23340,tcp,11
63425,tcp,18
35390,tcp,17
45364,tcp,19
18698,tcp,16
3767,tcp,20
6558,tcp,16
18796,tcp,12
28962,tcp,19
58900,tcp,13
64610,tcp,34
48242,tcp,21
34807,tcp,12
9310,tcp,18
30432,tcp,10
44096,tcp,20
59252,tcp,21
42196,tcp,18
56833,tcp,18
23038,tcp,24
21036,tcp,19
46512,tcp,13
6673,tcp,14
16741,tcp,9
27879,tcp,20
31576,tcp,12
2294,tcp,23
28219,tcp,13
59422,tcp,14
61992,tcp,12
3866,tcp,16
2312,tcp,16
10275,tcp,9
62988,tcp,17
3072,tcp,23
23004,tcp,12
64192,tcp,17
59107,tcp,11
7257,tcp,17
57898,tcp,18
45258,tcp,14
24562,tcp,16
34291,tcp,16
58625,tcp,13
2719,tcp,10
47434,tcp,8
63442,tcp,13
59267,tcp,14
44106,tcp,14
4564,tcp,12
59397,tcp,14
5808,tcp,17
47726,tcp,17
30961,tcp,17
28761,tcp,9
9608,tcp,13
49274,tcp,11
65093,tcp,16
63154,tcp,12
2026,tcp,18
23386,tcp,25
60049,tcp,10
22482,tcp,22
25516,tcp,10
10525,tcp,15
32273,tcp,16
20529,tcp,16
35052,tcp,15
43202,tcp,17
36274,tcp,17
43520,tcp,19
26985,tcp,23
51043,tcp,13
37185,tcp,17
38608,tcp,19
33019,tcp,14
26864,tcp,16
57733,tcp,13
46536,tcp,20
40195,tcp,12
29714,tcp,14
26431,tcp,23
10644,tcp,14
45200,tcp,13
26462,tcp,16
7271,tcp,11
35003,tcp,16
47058,tcp,13
54095,tcp,29
60868,tcp,13
16036,tcp,19
21294,tcp,14
43669,tcp,15
31385,tcp,8
12895,tcp,13
52368,tcp,15
16494,tcp,11
44090,tcp,19
21814,tcp,13
35863,tcp,17
3785,tcp,17
55028,tcp,18
43928,tcp,18
21661,tcp,16
